wateryear,wateryear,flow.m3.s,day,month,season
-2,2001-02,9.004488,1,Oct,fall
-2,2001-02,8.91954,2,Oct,fall
-2,2001-02,8.891224,3,Oct,fall
-2,2001-02,8.91954,4,Oct,fall
-2,2001-02,11.524612,5,Oct,fall
-2,2001-02,11.949352,6,Oct,fall
-2,2001-02,11.949352,7,Oct,fall
-2,2001-02,12.572304,8,Oct,fall
-2,2001-02,12.798832,9,Oct,fall
-2,2001-02,12.628936,10,Oct,fall
-2,2001-02,15.205692,11,Oct,fall
-2,2001-02,13.903156,12,Oct,fall
-2,2001-02,15.120744,13,Oct,fall
-2,2001-02,16.225068,14,Oct,fall
-2,2001-02,15.43222,15,Oct,fall
-2,2001-02,15.99854,16,Oct,fall
-2,2001-02,15.43222,17,Oct,fall
-2,2001-02,13.959788,18,Oct,fall
-2,2001-02,14.554424,19,Oct,fall
-2,2001-02,14.837584,20,Oct,fall
-2,2001-02,14.809268,21,Oct,fall
-2,2001-02,15.205692,22,Oct,fall
-2,2001-02,13.87484,23,Oct,fall
-2,2001-02,13.931472,24,Oct,fall
-2,2001-02,16.14012,25,Oct,fall
-2,2001-02,14.073052,26,Oct,fall
-2,2001-02,17.41434,27,Oct,fall
-2,2001-02,16.961284,28,Oct,fall
-2,2001-02,16.479912,29,Oct,fall
-2,2001-02,16.763072,30,Oct,fall
-2,2001-02,18.943404,31,Oct,fall
-2,2001-02,18.97172,32,Nov,fall
-2,2001-02,17.98066,33,Nov,fall
-2,2001-02,21.435212,34,Nov,fall
-2,2001-02,20.274256,35,Nov,fall
-2,2001-02,17.357708,36,Nov,fall
-2,2001-02,16.168436,37,Nov,fall
-2,2001-02,15.630432,38,Nov,fall
-2,2001-02,17.6975,39,Nov,fall
-2,2001-02,18.037292,40,Nov,fall
-2,2001-02,18.320452,41,Nov,fall
-2,2001-02,18.12224,42,Nov,fall
-2,2001-02,18.320452,43,Nov,fall
-2,2001-02,19.311512,44,Nov,fall
-2,2001-02,34.82868,45,Nov,fall
-2,2001-02,27.693048,46,Nov,fall
-2,2001-02,26.163984,47,Nov,fall
-2,2001-02,25.76756,48,Nov,fall
-2,2001-02,29.7318,49,Nov,fall
-2,2001-02,31.1476,50,Nov,fall
-2,2001-02,31.99708,51,Nov,fall
-2,2001-02,37.94344,52,Nov,fall
-2,2001-02,45.87192,53,Nov,fall
-2,2001-02,48.98668,54,Nov,fall
-2,2001-02,46.15508,55,Nov,fall
-2,2001-02,44.45612,56,Nov,fall
-2,2001-02,43.60664,57,Nov,fall
-2,2001-02,41.34136,58,Nov,fall
-2,2001-02,35.11184,59,Nov,fall
-2,2001-02,32.84656,60,Nov,fall
-2,2001-02,29.44864,61,Nov,fall
-2,2001-02,30.29812,62,Dec,winter
-2,2001-02,29.7318,63,Dec,winter
-2,2001-02,26.1923,64,Dec,winter
-2,2001-02,22.482904,65,Dec,winter
-2,2001-02,21.9449,66,Dec,winter
-2,2001-02,22.624484,67,Dec,winter
-2,2001-02,22.454588,68,Dec,winter
-2,2001-02,22.114796,69,Dec,winter
-2,2001-02,23.21912,70,Dec,winter
-2,2001-02,22.426272,71,Dec,winter
-2,2001-02,20.132676,72,Dec,winter
-2,2001-02,17.754132,73,Dec,winter
-2,2001-02,34.26236,74,Dec,winter
-2,2001-02,33.9792,75,Dec,winter
-2,2001-02,33.41288,76,Dec,winter
-2,2001-02,31.43076,77,Dec,winter
-2,2001-02,31.43076,78,Dec,winter
-2,2001-02,34.54552,79,Dec,winter
-2,2001-02,39.07608,80,Dec,winter
-2,2001-02,39.6424,81,Dec,winter
-2,2001-02,42.474,82,Dec,winter
-2,2001-02,46.15508,83,Dec,winter
-2,2001-02,45.58876,84,Dec,winter
-2,2001-02,45.02244,85,Dec,winter
-2,2001-02,44.73928,86,Dec,winter
-2,2001-02,42.474,87,Dec,winter
-2,2001-02,37.37712,88,Dec,winter
-2,2001-02,33.12972,89,Dec,winter
-2,2001-02,32.5634,90,Dec,winter
-2,2001-02,32.28024,91,Dec,winter
-2,2001-02,31.43076,92,Dec,winter
-2,2001-02,27.04178,93,Jan,winter
-2,2001-02,26.843568,94,Jan,winter
-2,2001-02,22.36964,95,Jan,winter
-2,2001-02,18.631928,96,Jan,winter
-2,2001-02,16.649808,97,Jan,winter
-2,2001-02,17.046232,98,Jan,winter
-2,2001-02,26.9002,99,Jan,winter
-2,2001-02,32.28024,100,Jan,winter
-2,2001-02,33.41288,101,Jan,winter
-2,2001-02,36.24448,102,Jan,winter
-2,2001-02,33.12972,103,Jan,winter
