TrapYear,Year,Fry,lowfry,highfry,Parr,lowparr,highparr,Coho,LowCoho,highCoho,BearFry,BearLowFry,BearHighFry,BearParr,BearLowParr,BearHighParr,BearCoho,BearLowCoho,BearHighCoho,,"Juvenile Abundance and 95% CI for Cedar River and Bear Creek Chinook Fry, Chinook Parr and Coho smolt"
1999,-4,63702,54081,73322,17230,15984,18477,39088,35241,42935,1720,.,.,13282,.,.,62970,50645,75295,,
2000,-3,46500,41532,51509,18223,14502,21944,32169,30506,33833,14116,.,.,18104,.,.,28142,26133,30151,,
2001,-2,10833,7703,13963,21416,17239,25593,82462,60293,104661,419,382,456,10169,8635,11703,21665,18947,24383,,
2002,-1,79799,35615,124153,39875,31186,48564,60513,50286,70740,5435,4772,6098,16019,13978,18060,58212,52791,63633,,
2003,0,194657,142840,246929,40740,26179,55301,74507,58947,90067,645,533,757,16668,15196,18140,48561,42304,54818,,
2004,1,65752,43176,88328,55124,43445,66803,70044,46735,93353,2089,1586,2572,21558,19085,24051,21085,18641,23529,,
2005,2,74292,39572,106840,60006,42921,72874,72643,42725,102561,1175,765,1585,8142,6322,9963,44172,44084,44259,,
2006,3,98967,81025,116928,18592,10931,26963,38023,16416,59629,5764,4035,7493,16598,16187,17009,46987,44658,49316,,
2007,4,110961,93373,125650,14225,8669,19781,33994,8291,59697,4054,2405,5703,12816,11651,13981,25143,20220,30066,,
2008,5,705583,629477,781690,64208,43223,85193,13322,3392,23372,1172,1092,1482,11598,9462,13734,12208,9807,14609,,
2009,6,127064,87288,166840,12388,9767,15009,52691,45600,59782,15100,8933,21266,50140,37122,63158,33395,26840,39951,,
2010,7,115474,105424,133104,36916,31525,42307,83060,70049,96071,1530,1139,1969,7655,5259,10003,13100,11427,14773,,
2011,8,177803,149302,206304,10003,6896,13110,52458,44645,60271,1651,1261,2041,16524,14883,18165,34513,25700,43326,,
2012,9,863595,697821,1029370,38919,30801,47037,48168,38493,57843,4000,846,6874,18197,14912,21802,16059,14734,17384,,
2013,10,874658,796812,952503,19219,11166,27272,115185,90688,139682,24776,19927,30364,19823,15382,23523,17752,9986,25518,,
2014,11,1426631,1012240,1806932,32130,26379,37882,129951,103740,154163,24266,7972,44757,38509,28499,44323,36119,28866,43371,,
2015,12,326901,237028,416774,20762,12793,28657,107874,91047,124701,26487,11219,41834,7272,5894,8551,30544,30025,31064,,
2016,13,941443,533415,1349471,31198,15941,46454,60621,41862,79379,25607,7987,42936,20339,16514,24454,11545,8717,14343,,
2017,14,151262,120151,182373,23457,16846,30068,91295,61769,120821,21672,10558,32786,14037,12338,15736,6004,2142,9866,,
2018,15,492574,424551,560597,31804,21377,42231,179946,127504,232388,24193,21484,26902,28427,24991,31863,37631,28305,46957,,
2019,16,186480,137059,235755,38250,27010,49490,62328,44894,79762,2592,976,4208,17650,15742,19559,19386,14643,24129,,
